Nominal Rb (bps),Transmit Power (mA),microJoule per bit per km
4688,120,21.23635141
146,120,592.5142212
9380,120,10.52544306
293,120,299.6093492
18750,120,5.400162345
586,120,153.2008409
3750,120,27.7093097
1172,120,78.37728278
4688,87,15.79340748
146,87,439.1664998
9380,87,7.826061501
293,87,222.1412193
18750,87,4.017849906
586,87,113.64706
3750,87,20.63059376
1172,87,58.17293912
4688,29,5.451933889
146,29,150.8817068
9380,29,2.700761345
293,29,76.35509725
18750,29,1.387838932
586,29,39.09139865
3750,29,7.133153678
1172,29,20.02503547
4688,20,3.972121882
146,20,109.077978
9380,20,1.966717616
293,20,55.24147716
18750,20,1.012174796
586,20,28.31513522
3750,20,5.2107077
1172,20,14.52267355